"Timestamp","Branch","Select your favourite movie from below.","Character Preferences","Character Preferences","Character Preferences","Character Preferences","Character Preferences","Character Preferences","Character Preferences"
"2022/11/04 9:52:54 AM GMT+5:30","COE,CSE,CSBS","Zootopia","","","","","","Chief Bogo",""
"2022/11/04 9:53:08 AM GMT+5:30","COE,CSE,CSBS","Hotel Transylvania","","","","Mavis;Jonathan;Frankenstien;Dracula","","",""
"2022/11/04 9:53:14 AM GMT+5:30","ENC,EEC,ECE and similar","Inside Out","","Anger","","","","",""
"2022/11/04 9:53:18 AM GMT+5:30","ENC,EEC,ECE and similar","Up","","","","","Carl Fredricksen;Russel;Dug","",""
"2022/11/04 9:53:28 AM GMT+5:30","COE,CSE,CSBS","Inside Out","","Riley;Joy;Sadness","","","","",""
"2022/11/04 9:54:04 AM GMT+5:30","COE,CSE,CSBS","Up","","","","","Carl Fredricksen;Russel;Dug","",""
"2022/11/04 9:54:21 AM GMT+5:30","COE,CSE,CSBS","Inside Out","","Riley","","","","",""
"2022/11/04 9:54:32 AM GMT+5:30","COE,CSE,CSBS","Up","","","","","Russel;Charles Muntz","",""
"2022/11/04 9:54:39 AM GMT+5:30","MEC,CIE","Inside Out","","Anger","","","","",""
"2022/11/04 9:55:00 AM GMT+5:30","ENC,EEC,ECE and similar","Inside Out","","Joy","","","","",""
"2022/11/04 9:55:11 AM GMT+5:30","BME,BT","Big Hero Six","Baymax;Tadashi Hamada","","","","","",""
"2022/11/04 9:55:12 AM GMT+5:30","COE,CSE,CSBS","Inside Out","","Riley;Joy;Sadness;Disgust;Anger","","","","",""
"2022/11/04 9:55:25 AM GMT+5:30","COE,CSE,CSBS","Up","","","","","Russel","",""
"2022/11/04 9:55:35 AM GMT+5:30","ENC,EEC,ECE and similar","Inside Out","","Joy","","","","",""
"2022/11/04 9:56:12 AM GMT+5:30","COE,CSE,CSBS","Big Hero Six","Baymax","","","","","",""
